model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama3,gov_report,2,rouge1,7737,38930,8.184,0.2741,0.1638,,0.0002,0.417143,1.0,0.237179,40.2003,0.351852,5.4033,0.382609,3.412,0.351852,7.3242,0.38209,7.3242,C0,0.417143,C0,C0,C5
llama3,gov_report,3,rouge1,2656,13938,8.2162,0.3637,0.2925,,0.0005,0.449339,1.0,0.258427,14.2363,0.392344,5.3391,0.45815,3.412,0.410811,2.5938,0.392523,2.5938,C3,0.45815,C3,C3,C3
llama3,gov_report,4,rouge1,13262,65941,8.8999,0.3124,0.1706,0.6288,0.0001,0.330864,1.0,0.203753,40.2003,0.276382,5.4167,0.325926,3.412,0.268041,7.3242,0.266667,7.3242,C0,0.330864,C0,C3,C3
llama3,gov_report,5,rouge1,8962,43358,8.4292,0.2968,0.1599,,0.0002,0.327402,1.0,0.311111,40.2003,0.359322,5.4044,0.320285,3.412,0.379661,7.3242,0.317343,7.3242,C4,0.379661,C4,C1,C1
llama3,gov_report,6,rouge1,8151,46529,8.5585,0.2849,0.1759,0.8959,0.0002,0.486486,1.0,0.209581,40.2003,0.429379,5.4135,0.47191,3.412,0.236915,7.3242,0.32345,7.3242,C0,0.486486,C0,C3,C3
llama3,gov_report,7,rouge1,6381,34367,8.2872,0.29,0.1783,,0.0002,0.308094,1.0,0.174142,34.2025,0.335917,5.3943,0.410891,3.412,0.311881,6.2314,0.289216,6.2314,C3,0.410891,C4,C4,C4
llama3,gov_report,8,rouge1,2810,14349,7.8916,0.3348,0.2456,,0.0005,0.395833,1.0,0.20712,15.0617,0.403315,5.3312,0.366762,3.412,0.329412,2.7441,0.323699,2.7441,C2,0.403315,C2,C2,C2
llama3,gov_report,9,rouge1,20394,102565,8.8963,0.2931,0.1259,,0.0001,0.27256,1.0,0.235727,40.2003,0.290019,5.4081,0.280374,3.412,0.228464,7.3242,0.236162,7.3242,C2,0.290019,C2,C2,C2
llama3,gov_report,10,rouge1,6081,32826,8.5808,0.3445,0.2529,0.2857,0.0002,0.303502,1.0,0.27027,32.5944,0.316667,5.3966,0.349206,3.412,0.348936,5.9385,0.289256,5.9385,C3,0.349206,C4,C4,C4
llama3,gov_report,11,rouge1,4186,19201,8.1371,0.3423,0.2121,,0.0004,0.418136,1.0,0.263158,22.4372,0.423469,5.3613,0.365079,3.412,0.307263,4.0879,0.300836,4.0879,C2,0.423469,C2,C2,C2
llama3,gov_report,12,rouge1,6736,38155,8.6379,0.3184,0.2199,,0.0002,0.406593,1.0,0.245399,36.1053,0.379009,5.4023,0.393443,3.412,0.295652,6.5781,0.267913,6.5781,C0,0.406593,C0,C3,C2
llama3,gov_report,13,rouge1,4632,24989,8.109,0.3122,0.2118,,0.0003,0.41954,1.0,0.24359,24.8277,0.445714,5.3654,0.424419,3.412,0.31405,4.5234,0.307692,4.5234,C2,0.445714,C2,C2,C2
llama3,gov_report,14,rouge1,5712,27046,8.6594,0.3681,0.2509,0.9979,0.0003,0.287958,1.0,0.123529,30.6166,0.338542,5.3935,0.353535,3.412,0.272494,5.5781,0.272494,5.5781,C3,0.353535,C2,C2,C4
llama3,gov_report,15,rouge1,5718,30185,8.7252,0.3677,0.2854,0.993,0.0002,0.299625,1.0,0.247012,30.6487,0.278481,5.3872,0.280303,3.412,0.261194,5.584,0.261194,5.584,C0,0.299625,C0,C0,C2
llama3,gov_report,16,rouge1,4218,22425,8.4086,0.3415,0.275,0.9084,0.0003,0.420749,1.0,0.304,22.6087,0.376307,5.3674,0.442997,3.412,0.338346,4.1191,0.330986,4.1191,C3,0.442997,C3,C3,C3
llama3,gov_report,17,rouge1,18156,95443,8.6124,0.2647,0.1212,0.949,0.0001,0.339506,1.0,0.29003,40.2003,0.332362,5.4007,0.372372,3.412,0.322581,7.3242,0.338462,7.3242,C3,0.372372,C5,C4,C4
llama3,gov_report,18,rouge1,4627,22492,8.203,0.3152,0.2083,,0.0003,0.52349,1.0,0.421875,24.8009,0.503597,5.3756,0.505338,3.412,0.475836,4.5186,0.453125,4.5186,C0,0.52349,C0,C2,C2
llama3,gov_report,19,rouge1,2818,15225,8.2116,0.3663,0.3034,,0.0005,0.426914,1.0,0.152589,15.1046,0.393365,5.3389,0.380282,3.412,0.212534,2.752,0.203297,2.752,C0,0.426914,C0,C0,C2
llama3,hotpotqa,0,f1,11345,54414,9.3786,0.3765,0.2538,0.9998,0.0039,0.333333,1.0,0.333333,40.2003,0.333333,5.4153,0.333333,3.412,0.333333,7.3242,0.333333,7.3242,C0,0.333333,C1,C1,C1
llama3,hotpotqa,1,f1,16253,72455,9.3354,0.3635,0.2117,0.9999,0.003,1.0,1.0,0.666667,40.2003,0.666667,5.4219,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C4,C4,C4
llama3,hotpotqa,2,f1,11033,48472,9.5235,0.4002,0.2607,0.9998,0.0059,0.4,1.0,0.4,40.2003,0.4,5.4078,0.4,3.412,0.4,7.3242,0.4,7.3242,C0,0.4,C1,C1,C1
llama3,hotpotqa,3,f1,16339,77553,9.7124,0.3832,0.2529,0.9999,0.0046,0.0,1.0,0.0,40.2003,0.0,5.3999,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama3,hotpotqa,4,f1,16243,80361,8.8794,0.2523,0.1606,0.9999,0.0402,0.444444,1.0,0.444444,40.2003,0.571429,5.4024,0.444444,3.412,0.571429,7.3242,0.571429,7.3242,C2,0.571429,C1,C1,C1
llama3,hotpotqa,5,f1,5046,19649,8.6993,0.4065,0.2782,0.9995,0.0062,1.0,1.0,1.0,27.0468,1.0,5.3752,1.0,3.412,1.0,4.9277,1.0,4.9277,C0,1.0,C1,C1,C1
llama3,hotpotqa,6,f1,16368,75436,9.4145,0.3785,0.2102,0.9999,0.004,0.0,1.0,0.0,40.2003,0.0,5.4188,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama3,hotpotqa,7,f1,13519,58965,9.6631,0.3994,0.2516,0.9998,0.005,0.0,1.0,0.0,40.2003,0.0,5.4042,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama3,hotpotqa,8,f1,9709,42966,9.6744,0.4149,0.3151,0.9998,0.0056,0.5,1.0,0.5,40.2003,0.5,5.4064,0.5,3.412,0.5,7.3242,0.5,7.3242,C0,0.5,C1,C1,C1
llama3,hotpotqa,9,f1,11220,47315,8.8959,0.3591,0.1946,0.9998,0.0066,1.0,1.0,0.666667,40.2003,1.0,5.3988,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C4,C4,C4
llama3,hotpotqa,10,f1,15466,67481,9.4427,0.393,0.2435,0.9999,0.0047,1.0,1.0,0.666667,40.2003,1.0,5.4129,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C4,C4,C4
llama3,hotpotqa,11,f1,15969,76568,9.4284,0.37,0.2278,0.9999,0.0039,0.727273,1.0,0.0,40.2003,0.727273,5.4044,0.727273,3.412,0.727273,7.3242,0.727273,7.3242,C0,0.727273,C4,C4,C4
llama3,hotpotqa,12,f1,3507,16166,9.0833,0.4285,0.3884,0.9994,0.0067,1.0,1.0,1.0,18.7977,1.0,5.3468,1.0,3.412,1.0,3.4248,1.0,3.4248,C0,1.0,C1,C1,C1
