model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama31_8b,hotpotqa,4,f1,16243,80361,8.8794,0.2523,0.1606,0.9999,0.0402,0.666667,1.0,0.666667,40.2012,0.666667,5.4002,0.666667,3.412,0.666667,7.3242,0.666667,7.3242,C0,0.666667,C1,C1,C1
llama31_8b,hotpotqa,5,f1,5046,19649,8.6993,0.4065,0.2782,0.9995,0.0062,1.0,1.0,1.0,27.0474,1.0,5.3819,1.0,3.412,1.0,4.9277,1.0,4.9277,C0,1.0,C1,C1,C1
llama31_8b,hotpotqa,6,f1,16368,75436,9.4145,0.3785,0.2102,0.9999,0.004,0.0,1.0,0.0,40.2012,0.0,5.4187,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama31_8b,hotpotqa,7,f1,13519,58965,9.6631,0.3994,0.2516,0.9998,0.005,0.0,1.0,0.0,40.2012,0.0,5.4083,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama31_8b,hotpotqa,8,f1,9709,42966,9.6744,0.4149,0.3151,0.9998,0.0056,0.5,1.0,0.5,40.2012,0.5,5.4141,0.5,3.412,0.5,7.3242,0.5,7.3242,C0,0.5,C1,C1,C1
llama31_8b,hotpotqa,9,f1,11220,47315,8.8959,0.3591,0.1946,0.9998,0.0066,0.4,1.0,0.4,40.2012,0.4,5.3999,0.4,3.412,0.4,7.3242,0.4,7.3242,C0,0.4,C1,C1,C1
llama31_8b,hotpotqa,10,f1,15466,67481,9.4427,0.393,0.2435,0.9999,0.0047,1.0,1.0,1.0,40.2012,1.0,5.4149,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama31_8b,hotpotqa,11,f1,15969,76568,9.4284,0.37,0.2278,0.9999,0.0039,0.727273,1.0,0.0,40.2012,0.0,5.4026,0.727273,3.412,0.727273,7.3242,0.727273,7.3242,C0,0.727273,C4,C4,C4
llama31_8b,hotpotqa,12,f1,3507,16166,9.0833,0.4285,0.3884,0.9994,0.0067,1.0,1.0,1.0,18.7981,1.0,5.3568,1.0,3.412,1.0,3.4248,1.0,3.4248,C0,1.0,C1,C1,C1
llama31_8b,hotpotqa,13,f1,13481,61276,9.3435,0.3763,0.2268,0.9999,0.0043,0.0,1.0,0.0,40.2012,0.0,5.407,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama31_8b,hotpotqa,14,f1,13330,48910,9.6626,0.4153,0.2658,0.9998,0.0082,0.0,1.0,0.074074,40.2012,0.0,5.399,0.0,3.412,0.0,7.3242,0.0,7.3242,C1,0.074074,C1,C1,C1
llama31_8b,hotpotqa,15,f1,14429,62696,9.4936,0.3783,0.2263,0.9999,0.0062,0.666667,1.0,0.666667,40.2012,0.666667,5.4005,0.666667,3.412,0.666667,7.3242,0.666667,7.3242,C0,0.666667,C1,C1,C1
llama31_8b,hotpotqa,16,f1,10884,44633,9.1698,0.3814,0.2242,0.9998,0.0071,1.0,1.0,1.0,40.2012,1.0,5.4129,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama31_8b,hotpotqa,17,f1,15393,72591,9.7743,0.3882,0.2658,0.9999,0.0034,0.0,1.0,0.0,40.2012,0.0,5.4104,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama31_8b,hotpotqa,18,f1,16111,69660,9.2338,0.3726,0.1978,0.9999,0.0033,0.0,1.0,0.0,40.2012,0.0,5.4059,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama31_8b,hotpotqa,19,f1,14628,69032,9.4605,0.3848,0.2467,0.9999,0.004,0.5,1.0,0.5,40.2012,0.5,5.4008,0.5,3.412,0.5,7.3242,0.5,7.3242,C0,0.5,C1,C1,C1
