model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama3,gov_report,5,rouge_l,8962,43358,8.4292,0.2968,0.1599,,0.0002,0.282958,1.0,1020395520.0,1020395520.0,0.249158,19.4421,51978240.0,1010565120.0,0.298413,4.6203,220706637.4,1019740160.0,0.283871,3.1343,325562368.0,1020395520.0,0.286689,6.1561,164626432.0,1013448704.0,0.246667,6.0752,167247872.0,1016070144.0,C2,0.298413,C4,C4,C4
llama3,gov_report,6,rouge_l,8151,46529,8.5585,0.2849,0.1759,0.8959,0.0002,0.393365,1.0,1024196608.0,1024196608.0,0.156658,15.8477,64561152.0,1023148032.0,0.386473,4.6268,219406211.4,1015152640.0,0.403893,3.1516,322940928.0,1017774080.0,0.190024,5.8949,173408256.0,1022230528.0,0.24,5.8473,175112192.0,1023934464.0,C3,0.403893,C3,C2,C2
llama3,gov_report,7,rouge_l,6381,34367,8.2872,0.29,0.1783,,0.0002,0.254042,1.0,872546304.0,872546304.0,0.14554,15.4436,56303616.0,869531648.0,0.297674,4.6116,189379147.1,873332736.0,0.337029,3.1047,281337216.0,873463808.0,0.235566,5.0783,172490752.0,875954176.0,0.254386,5.1001,171573248.0,875036672.0,C3,0.337029,C5,C5,C5
llama3,gov_report,8,rouge_l,2810,14349,7.8916,0.3348,0.2456,,0.0005,0.36044,1.0,417333248.0,417333248.0,0.163043,8.0307,49094656.0,394264576.0,0.342723,4.5661,89416735.4,408289280.0,0.363636,2.6472,158542304.0,419692544.0,0.251781,2.3245,177733632.0,413138944.0,0.246973,2.3826,170262528.0,405667840.0,C3,0.363636,C3,C2,C2
llama3,gov_report,9,rouge_l,20394,102565,8.8963,0.2931,0.1259,,0.0001,0.223333,1.0,1021837312.0,1021837312.0,0.185738,15.3806,66658304.0,1025245184.0,0.258278,4.6238,221759431.9,1025376256.0,0.23946,3.1325,325824512.0,1020657664.0,0.167558,6.1849,163708928.0,1012531200.0,0.210702,5.6826,181272576.0,1030094848.0,C2,0.258278,C2,C2,C5
llama3,gov_report,10,rouge_l,6081,32826,8.5808,0.3445,0.2529,0.2857,0.0002,0.227941,1.0,833224704.0,833224704.0,0.205128,15.8516,52109312.0,826015744.0,0.203008,4.6143,180491028.1,832831488.0,0.262172,3.1168,266579328.0,830865408.0,0.229885,4.934,168820736.0,832962560.0,0.202335,5.0568,163708928.0,827850752.0,C3,0.262172,C4,C4,C4
llama3,gov_report,11,rouge_l,4186,19201,8.1371,0.3423,0.2121,,0.0004,0.381974,1.0,594804736.0,594804736.0,0.239468,7.5884,79765504.0,605290496.0,0.395402,4.589,128844494.2,591265792.0,0.320542,2.8913,205543328.0,594280448.0,0.220264,3.212,187957248.0,603717632.0,0.282353,3.4532,169476096.0,585236480.0,C2,0.395402,C2,C2,C2
llama3,gov_report,12,rouge_l,6736,38155,8.6379,0.3184,0.2199,,0.0002,0.306122,1.0,920518656.0,920518656.0,0.180791,17.2137,53026816.0,912785408.0,0.293671,4.6185,199735332.4,922484736.0,0.310078,3.112,295923616.0,920911872.0,0.227147,5.4151,169869312.0,919863296.0,0.212034,5.5341,165412864.0,915406848.0,C3,0.310078,C3,C2,C2
llama3,gov_report,13,rouge_l,4632,24989,8.109,0.3122,0.2118,,0.0003,0.351706,1.0,644087808.0,644087808.0,0.216374,12.496,50798592.0,634781696.0,0.352941,4.5921,140516445.4,645267456.0,0.351706,3.0072,214226752.0,644218880.0,0.244898,3.7162,174587904.0,648806400.0,0.262211,3.7203,174325760.0,648544256.0,C2,0.352941,C2,C2,C2
llama3,gov_report,14,rouge_l,5712,27046,8.6594,0.3681,0.2509,0.9979,0.0003,0.242857,1.0,784334848.0,784334848.0,0.075067,16.7006,46211072.0,771751936.0,0.316027,4.6119,172968246.0,797704192.0,0.297483,2.9019,278732128.0,808845312.0,0.178313,4.7434,164495360.0,780271616.0,0.20979,4.5537,173277184.0,789053440.0,C2,0.316027,C2,C2,C2
llama3,gov_report,15,rouge_l,5718,30185,8.7252,0.3677,0.2854,0.993,0.0002,0.245487,1.0,791937024.0,791937024.0,0.181132,13.2717,59187200.0,785514496.0,0.257812,4.6075,171540366.6,790364160.0,0.240283,3.015,263359136.0,794034176.0,0.176471,4.7215,165675008.0,782237696.0,0.234043,4.6018,171180032.0,787742720.0,C2,0.257812,C2,C2,C2
llama3,gov_report,16,rouge_l,4218,22425,8.4086,0.3415,0.275,0.9084,0.0003,0.339623,1.0,611319808.0,611319808.0,0.270677,11.7324,49356800.0,579076096.0,0.349693,4.5931,129527914.2,594935808.0,0.332378,2.8349,213424800.0,605028352.0,0.282828,3.507,167510016.0,587464704.0,0.285714,3.5031,167772160.0,587726848.0,C2,0.349693,C2,C2,C2
llama3,gov_report,17,rouge_l,18156,95443,8.6124,0.2647,0.1212,0.949,0.0001,0.26776,1.0,1012006912.0,1012006912.0,0.225275,20.0176,50405376.0,1008992256.0,0.252577,4.6179,221135740.2,1021181952.0,0.257703,3.142,324382720.0,1019215872.0,0.300792,5.9587,171180032.0,1020002304.0,0.265193,6.1073,166199296.0,1015021568.0,C4,0.300792,C5,C5,C5
llama3,gov_report,18,rouge_l,4627,22492,8.203,0.3152,0.2083,,0.0003,0.416667,1.0,657063936.0,657063936.0,0.364261,10.2034,63381504.0,646709248.0,0.435821,4.5986,141714573.5,651689984.0,0.43871,3.0191,212729120.0,642252800.0,0.403909,3.7986,169213952.0,642777088.0,0.39726,3.7986,169213952.0,642777088.0,C3,0.43871,C2,C2,C2
llama3,gov_report,19,rouge_l,2818,15225,8.2116,0.3663,0.3034,,0.0005,0.357143,1.0,405667840.0,405667840.0,0.118812,8.0333,49225728.0,395444224.0,0.311404,4.5713,89343498.4,408420352.0,0.351464,2.7499,149666464.0,411566080.0,0.1875,2.4775,160038912.0,396492800.0,0.192593,2.5046,157155328.0,393609216.0,C0,0.357143,C0,C3,C3
llama3,hotpotqa,0,qa_f1,11345,54414,9.3786,0.3765,0.2538,0.9998,0.0039,0.333333,1.0,983826432.0,983826432.0,0.333333,38.9796,25239552.0,983826432.0,0.333333,4.6283,212569478.9,983826432.0,0.333333,3.4043,288993280.0,983826432.0,0.333333,7.2874,135004160.0,983826432.0,0.333333,7.2874,135004160.0,983826432.0,C0,0.333333,C1,C1,C1
