model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama32_3b,qmsum,16,rouge_l,25410,120528,9.0895,0.3251,0.1403,0.9999,0.003,0.205882,1.0,875413504.0,875413504.0,0.22,30.7585,28188672.0,867041280.0,0.212389,4.6653,186389328.0,869564416.0,0.21374,3.2832,266287616.0,874266624.0,0.198473,6.5828,133038080.0,875757568.0,0.208333,6.4788,135561216.0,878280704.0,C1,0.22,C1,C1,C1
llama32_3b,qmsum,17,rouge_l,12119,49902,7.5304,0.2706,0.089,0.9998,0.0134,0.354167,1.0,869105664.0,869105664.0,0.213333,33.9787,25436160.0,864288768.0,0.3,4.6486,186440749.1,866697216.0,0.354167,3.3283,261126656.0,869105664.0,0.343434,6.8237,127533056.0,870252544.0,0.29703,6.8342,127303680.0,870023168.0,C0,0.354167,C3,C4,C4
llama32_3b,qmsum,18,rouge_l,18416,66930,7.5101,0.2821,0.068,0.9918,0.0104,0.213592,1.0,874151936.0,874151936.0,0.202899,32.4204,26697728.0,865550336.0,0.252632,4.6502,187810607.1,873349120.0,0.198198,3.2502,270187008.0,878166016.0,0.235294,6.7057,130170880.0,872890368.0,0.18,6.6708,130973696.0,873693184.0,C2,0.252632,C4,C4,C1
llama32_3b,qmsum,19,rouge_l,5220,20018,6.724,0.2514,0.1084,0.9814,0.0191,0.213592,1.0,616562688.0,616562688.0,0.2,24.3835,24862720.0,606240768.0,0.142857,4.624,132173637.5,611172352.0,0.207547,3.2273,191221212.0,617136128.0,0.164706,4.8394,126386176.0,611631104.0,0.148148,4.8745,125239296.0,610484224.0,C0,0.213592,C0,C3,C1
llama32_3b,trec,0,classification,4956,22067,7.5377,0.316,0.2611,0.9997,0.0234,1.0,1.0,575619072.0,575619072.0,1.0,20.0972,28647424.0,575733760.0,1.0,4.6415,124014972.8,575619072.0,1.0,3.3091,173982564.0,575733760.0,1.0,4.614,124780544.0,575733760.0,1.0,4.614,124780544.0,575733760.0,C0,1.0,C1,C1,C1
llama32_3b,trec,1,classification,7145,31651,7.5619,0.3048,0.2321,0.9998,0.0244,0.0,1.0,826671104.0,826671104.0,0.0,28.8607,28647424.0,826785792.0,0.0,4.6586,177450785.5,826671104.0,0.0,3.3397,247560740.0,826785792.0,0.0,6.6259,124780544.0,826785792.0,0.0,6.6259,124780544.0,826785792.0,C0,0.0,C1,C1,C1
llama32_3b,trec,2,classification,10958,48491,7.7814,0.3009,0.2111,0.9999,0.0241,0.0,1.0,867385344.0,867385344.0,0.0,30.282,28647424.0,867500032.0,0.0,4.6614,186079559.4,867385344.0,0.0,3.3427,259521024.0,867500032.0,0.0,6.9522,124780544.0,867500032.0,0.0,6.9522,124780544.0,867500032.0,C0,0.0,C1,C1,C1
llama32_3b,trec,3,classification,3338,14683,7.3828,0.3373,0.2846,0.9995,0.0236,1.0,1.0,390053888.0,390053888.0,1.0,13.6197,28647424.0,390168576.0,1.0,4.6233,84367563.4,390053888.0,1.0,3.2606,119662340.0,390168576.0,1.0,3.1268,124780544.0,390168576.0,1.0,3.1268,124780544.0,390168576.0,C0,1.0,C1,C1,C1
llama32_3b,trec,4,classification,10064,44441,7.7338,0.3009,0.2204,0.9998,0.0242,1.0,1.0,867385344.0,867385344.0,0.0,30.282,28647424.0,867500032.0,1.0,4.6624,186040189.4,867385344.0,1.0,3.3427,259521024.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,C0,1.0,C4,C4,C4
llama32_3b,trec,5,classification,4316,18986,7.3006,0.309,0.2477,0.9996,0.0249,1.0,1.0,502218752.0,502218752.0,1.0,17.535,28647424.0,502333440.0,1.0,4.634,108376263.0,502218752.0,1.0,3.2947,152467280.0,502333440.0,1.0,4.0257,124780544.0,502333440.0,1.0,4.0257,124780544.0,502333440.0,C0,1.0,C1,C1,C1
llama32_3b,trec,6,classification,2849,12633,7.3902,0.3374,0.2945,0.9994,0.0237,0.0,1.0,333971456.0,333971456.0,0.0,11.662,28647424.0,334086144.0,0.0,4.6126,72403591.6,333971456.0,0.0,3.2372,103202680.0,334086144.0,0.0,2.6774,124780544.0,334086144.0,0.0,2.6774,124780544.0,334086144.0,C0,0.0,C1,C1,C1
llama32_3b,trec,7,classification,9179,40923,7.6677,0.2964,0.2221,0.9998,0.024,0.0,1.0,867385344.0,867385344.0,0.0,30.282,28647424.0,867500032.0,0.0,4.6612,186086671.4,867385344.0,0.0,3.3427,259521024.0,867500032.0,0.0,6.9522,124780544.0,867500032.0,0.0,6.9522,124780544.0,867500032.0,C0,0.0,C1,C1,C1
llama32_3b,trec,8,classification,10565,46752,7.8126,0.3025,0.2216,0.9999,0.0238,1.0,1.0,867385344.0,867385344.0,1.0,30.282,28647424.0,867500032.0,1.0,4.6621,186048873.0,867385344.0,1.0,3.3427,259521024.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,C0,1.0,C1,C1,C1
llama32_3b,trec,9,classification,7817,34486,7.6659,0.3026,0.2318,0.9998,0.0239,1.0,1.0,867385344.0,867385344.0,1.0,30.282,28647424.0,867500032.0,1.0,4.6627,186025870.1,867385344.0,1.0,3.3427,259521024.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,C0,1.0,C1,C1,C1
llama32_3b,trec,10,classification,11030,48978,7.89,0.304,0.2194,0.9999,0.0231,1.0,1.0,867385344.0,867385344.0,1.0,30.282,28647424.0,867500032.0,1.0,4.6629,186019901.1,867385344.0,1.0,3.3427,259521024.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,C0,1.0,C1,C1,C1
llama32_3b,trec,11,classification,10282,45731,7.8247,0.3034,0.2211,0.9998,0.0235,1.0,1.0,867385344.0,867385344.0,1.0,30.282,28647424.0,867500032.0,1.0,4.6586,186188350.8,867385344.0,1.0,3.3427,259521024.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,C0,1.0,C1,C1,C1
llama32_3b,trec,12,classification,2774,12440,7.2091,0.3334,0.287,0.9994,0.0239,0.0,1.0,325369856.0,325369856.0,0.0,11.3617,28647424.0,325484544.0,0.0,4.6129,70534776.8,325369856.0,0.0,3.2343,100633848.0,325484544.0,0.0,2.6085,124780544.0,325484544.0,0.0,2.6085,124780544.0,325484544.0,C0,0.0,C1,C1,C1
llama32_3b,trec,13,classification,10041,44636,7.7657,0.3005,0.2226,0.9998,0.0237,0.0,1.0,867385344.0,867385344.0,0.0,30.282,28647424.0,867500032.0,0.0,4.6605,186113833.5,867385344.0,0.0,3.3427,259521024.0,867500032.0,0.0,6.9522,124780544.0,867500032.0,0.0,6.9522,124780544.0,867500032.0,C0,0.0,C1,C1,C1
llama32_3b,trec,14,classification,8470,37582,7.6394,0.3041,0.2262,0.9998,0.0242,1.0,1.0,867385344.0,867385344.0,0.0,30.282,28647424.0,867500032.0,1.0,4.661,186093545.2,867385344.0,1.0,3.3427,259521024.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,C0,1.0,C4,C4,C4
llama32_3b,trec,15,classification,8883,39237,7.6557,0.3005,0.2194,0.9998,0.024,1.0,1.0,867385344.0,867385344.0,1.0,30.282,28647424.0,867500032.0,1.0,4.6605,186114119.2,867385344.0,1.0,3.3427,259521024.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,C0,1.0,C1,C1,C1
llama32_3b,trec,16,classification,8850,39057,7.7049,0.3051,0.2243,0.9998,0.0238,0.0,1.0,867385344.0,867385344.0,0.0,30.282,28647424.0,867500032.0,0.0,4.6618,186062874.8,867385344.0,0.0,3.3427,259521024.0,867500032.0,0.0,6.9522,124780544.0,867500032.0,0.0,6.9522,124780544.0,867500032.0,C0,0.0,C1,C1,C1
llama32_3b,trec,17,classification,6265,27941,7.6663,0.3159,0.2496,0.9997,0.0237,1.0,1.0,725745664.0,725745664.0,1.0,25.3377,28647424.0,725860352.0,1.0,4.6521,156004562.8,725745664.0,1.0,3.3302,217962696.0,725860352.0,1.0,5.8171,124780544.0,725860352.0,1.0,5.8171,124780544.0,725860352.0,C0,1.0,C1,C1,C1
llama32_3b,trec,18,classification,5991,26687,7.5822,0.3149,0.2495,0.9997,0.0241,1.0,1.0,694321152.0,694321152.0,1.0,24.2408,28647424.0,694435840.0,1.0,4.6505,149301752.0,694321152.0,1.0,3.3264,208767440.0,694435840.0,1.0,5.5653,124780544.0,694435840.0,1.0,5.5653,124780544.0,694435840.0,C0,1.0,C1,C1,C1
llama32_3b,trec,19,classification,11176,49551,7.73,0.2964,0.211,0.9999,0.0241,1.0,1.0,867385344.0,867385344.0,1.0,30.282,28647424.0,867500032.0,1.0,4.6621,186050143.0,867385344.0,1.0,3.3427,259521024.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,1.0,6.9522,124780544.0,867500032.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,0,qa_f1,5506,23489,9.3091,0.4315,0.3482,0.9711,0.0139,1.0,1.0,635027456.0,635027456.0,1.0,25.4287,24977408.0,635142144.0,1.0,4.6473,136645299.8,635027456.0,1.0,3.3626,188883044.0,635142144.0,1.0,5.2443,121110528.0,635142144.0,1.0,5.2443,121110528.0,635142144.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,1,qa_f1,20031,85780,10.2352,0.4154,0.2659,0.9999,0.012,1.0,1.0,863715328.0,863715328.0,1.0,36.5429,23601152.0,862453760.0,1.0,4.6657,185121533.6,863715328.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,2,qa_f1,12920,55689,9.8841,0.4137,0.2892,0.9998,0.0096,1.0,1.0,863715328.0,863715328.0,1.0,37.428,23027712.0,861880320.0,1.0,4.6585,185405553.2,863715328.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,3,qa_f1,11013,47493,9.7234,0.4216,0.2947,0.9998,0.0106,0.666667,1.0,863715328.0,863715328.0,0.666667,39.1374,21995520.0,860848128.0,0.666667,4.6635,185207623.8,863715328.0,0.666667,3.3763,255851008.0,863830016.0,0.666667,7.1326,121110528.0,863830016.0,0.666667,7.1326,121110528.0,863830016.0,C0,0.666667,C1,C1,C1
llama32_3b,triviaqa,4,qa_f1,8326,36757,9.7764,0.4334,0.347,0.9997,0.0094,1.0,1.0,863715328.0,863715328.0,1.0,34.5845,24977408.0,863830016.0,1.0,4.6527,185637931.5,863715328.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,5,qa_f1,10453,44556,9.8651,0.4275,0.3041,0.9998,0.0077,1.0,1.0,863715328.0,863715328.0,1.0,34.5845,24977408.0,863830016.0,1.0,4.6619,185271076.1,863715328.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,6,qa_f1,10376,40413,9.6745,0.4218,0.2876,0.9998,0.0199,1.0,1.0,863715328.0,863715328.0,1.0,34.5845,24977408.0,863830016.0,1.0,4.6543,185572637.6,863715328.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,7,qa_f1,11311,47275,9.8567,0.4253,0.302,0.9998,0.0141,1.0,1.0,863715328.0,863715328.0,0.173913,34.5845,24977408.0,863830016.0,1.0,4.6616,185283982.5,863715328.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C4,C4,C4
llama32_3b,triviaqa,8,qa_f1,7724,31840,9.5544,0.4356,0.322,0.9997,0.0109,1.0,1.0,863715328.0,863715328.0,1.0,35.5359,24289280.0,863141888.0,1.0,4.6646,185162316.5,863715328.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,9,qa_f1,4342,16034,8.659,0.4387,0.3194,0.9994,0.0158,1.0,1.0,498319360.0,498319360.0,0.16,20.084,24977408.0,501645312.0,1.0,4.6212,107833231.5,498319360.0,1.0,3.4056,146322008.0,498319360.0,1.0,4.2308,117784576.0,498319360.0,1.0,4.2308,117784576.0,498319360.0,C0,1.0,C2,C2,C2
llama32_3b,triviaqa,10,qa_f1,18145,76648,10.0678,0.4129,0.2681,0.9999,0.0121,1.0,1.0,863715328.0,863715328.0,1.0,34.5845,24977408.0,863830016.0,1.0,4.6644,185172238.4,863715328.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,11,qa_f1,11796,51154,9.8023,0.4091,0.292,0.9998,0.0106,1.0,1.0,863715328.0,863715328.0,1.0,34.5845,24977408.0,863830016.0,1.0,4.6554,185531426.1,863715328.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,12,qa_f1,19728,83538,10.0535,0.4093,0.2526,0.9999,0.0121,1.0,1.0,863715328.0,863715328.0,1.0,34.5845,24977408.0,863830016.0,1.0,4.6656,185123470.4,863715328.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,13,qa_f1,3265,14180,9.0301,0.4352,0.3807,0.9993,0.0136,1.0,1.0,378011648.0,378011648.0,1.0,15.1387,24977408.0,378126336.0,1.0,4.6123,81956768.9,378011648.0,1.0,3.3318,113489096.0,378126336.0,1.0,3.1222,121110528.0,378126336.0,1.0,3.1222,121110528.0,378126336.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,14,qa_f1,20796,87722,10.1281,0.4156,0.2575,0.9999,0.0102,1.0,1.0,863715328.0,863715328.0,1.0,39.3373,21880832.0,860733440.0,1.0,4.6669,184432841.4,860733440.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,15,qa_f1,4908,22747,9.2835,0.4253,0.3775,0.9996,0.0079,1.0,1.0,566444032.0,566444032.0,1.0,24.7553,22798336.0,564379648.0,1.0,4.6352,122205426.0,566444032.0,1.0,3.3575,168742056.0,566558720.0,1.0,4.678,121110528.0,566558720.0,1.0,4.678,121110528.0,566558720.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,16,qa_f1,10231,42226,9.7102,0.4236,0.2923,0.9998,0.0109,1.0,1.0,863715328.0,863715328.0,1.0,34.5845,24977408.0,863830016.0,1.0,4.6595,185366310.2,863715328.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C1,C1,C1
llama32_3b,triviaqa,17,qa_f1,13960,57722,9.8074,0.3969,0.2583,0.9998,0.0128,1.0,1.0,863715328.0,863715328.0,1.0,34.5845,24977408.0,863830016.0,1.0,4.6692,184980881.1,863715328.0,1.0,3.3763,255851008.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,1.0,7.1326,121110528.0,863830016.0,C0,1.0,C1,C1,C1
