model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
phi3,hotpotqa,14,f1,16242,48910,9.1788,0.4153,0.1963,0.9998,0.0082,0.0,1.0,0.0,11.1727,0.0,5.8287,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,hotpotqa,15,f1,17465,62696,9.2358,0.3783,0.1738,0.9999,0.0062,0.0,1.0,0.0,11.1727,0.0,5.8173,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,hotpotqa,16,f1,13054,44633,8.8228,0.3814,0.1789,0.9998,0.0071,0.0,1.0,0.0,11.1727,0.0,5.8317,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,hotpotqa,17,f1,18658,72591,9.6424,0.3882,0.2057,0.9999,0.0034,0.0,1.0,0.0,11.1727,0.0,5.8331,0.0,3.412,0.0,6.8359,0.0,6.8359,C0,0.0,C1,C1,C1
phi3,hotpotqa,18,f1,18915,69660,9.1353,0.3726,0.1578,0.9999,0.0033,0.4,1.0,0.0,11.1727,0.4,5.8428,0.4,3.412,0.4,6.8359,0.4,6.8359,C0,0.4,C4,C4,C4
phi3,hotpotqa,19,f1,17313,69032,9.3504,0.3848,0.1983,0.9999,0.004,0.666667,1.0,0.666667,11.1727,0.666667,5.8269,0.666667,3.412,0.666667,6.8359,0.666667,6.8359,C0,0.666667,C1,C1,C1
phi3,multi_news,0,rouge1,3200,12628,8.3113,0.3998,0.3081,0.8747,0.001,0.255507,1.0,0.22807,10.2151,0.290323,5.8442,0.273438,3.412,0.211055,6.25,0.230415,6.25,C2,0.290323,C2,C2,C5
phi3,multi_news,1,rouge1,3522,13328,8.1746,0.3761,0.2641,0.69,0.0011,0.382838,1.0,0.271062,11.1727,0.398625,5.8418,0.363636,3.412,0.30303,6.8359,0.295082,6.8359,C2,0.398625,C2,C2,C2
phi3,multi_news,2,rouge1,1013,3710,7.6225,0.4417,0.388,,0.003,0.485804,1.0,0.32491,3.2337,0.520635,5.7594,0.481605,3.412,0.355401,1.9785,0.372624,1.9785,C2,0.520635,C2,C2,C2
phi3,multi_news,3,rouge1,4918,18731,7.4752,0.3172,0.2025,0.9764,0.0006,0.215278,1.0,0.205357,11.1727,0.221402,5.8457,0.261745,3.412,0.257732,6.8359,0.244344,6.8359,C3,0.261745,C4,C1,C1
phi3,multi_news,4,rouge1,3593,13401,8.5164,0.428,0.3103,0.6453,0.001,0.278261,1.0,0.186495,11.1727,0.245955,5.8576,0.259494,3.412,0.224422,6.8359,0.22069,6.8359,C0,0.278261,C0,C0,C3
phi3,multi_news,5,rouge1,4637,18395,8.6592,0.4005,0.2838,0.8686,0.0009,0.230769,1.0,0.217391,11.1727,0.197183,5.8333,0.276316,3.412,0.233333,6.8359,0.204778,6.8359,C3,0.276316,C4,C4,C1
phi3,multi_news,6,rouge1,1502,5610,8.0866,0.4419,0.3755,0.7381,0.002,0.230769,1.0,0.189024,4.7947,0.22963,5.82,0.24918,3.412,0.186916,2.9336,0.179931,2.9336,C3,0.24918,C2,C2,C2
phi3,multi_news,7,rouge1,4511,18745,8.5106,0.3706,0.2687,0.8836,0.0006,0.293333,1.0,0.277778,11.1727,0.333333,5.8256,0.266667,3.412,0.338164,6.8359,0.28972,6.8359,C4,0.338164,C4,C4,C1
phi3,multi_news,8,rouge1,2676,10063,7.8708,0.3696,0.253,,0.0013,0.4125,1.0,0.260163,8.5424,0.430034,5.8322,0.416667,3.412,0.4,5.2266,0.365957,5.2266,C2,0.430034,C2,C2,C2
phi3,multi_news,9,rouge1,1366,5082,8.0878,0.4583,0.4151,0.9603,0.0022,0.349693,1.0,0.236066,4.3606,0.356923,5.8141,0.372372,3.412,0.303797,2.668,0.286567,2.668,C3,0.372372,C2,C2,C2
phi3,multi_news,10,rouge1,8916,34688,8.9032,0.3478,0.2075,,0.0004,0.35474,1.0,0.265372,11.1727,0.387283,5.8492,0.348083,3.412,0.351351,6.8359,0.346939,6.8359,C2,0.387283,C4,C4,C4
phi3,multi_news,11,rouge1,2310,8923,7.8661,0.3751,0.281,,0.0012,0.380952,1.0,0.372549,7.374,0.397004,5.8436,0.322807,3.412,0.438356,4.5117,0.382353,4.5117,C4,0.438356,C2,C1,C1
phi3,multi_news,12,rouge1,3239,13280,8.0551,0.3243,0.2368,,0.001,0.324111,1.0,0.253394,10.3396,0.342007,5.855,0.34981,3.412,0.357488,6.3262,0.379147,6.3262,C5,0.379147,C4,C4,C4
phi3,multi_news,13,rouge1,3557,14203,8.0919,0.3576,0.2452,,0.0009,0.322581,1.0,0.221106,11.1727,0.269767,5.8321,0.316498,3.412,0.327684,6.8359,0.298969,6.8359,C4,0.327684,C4,C4,C4
phi3,multi_news,14,rouge1,1060,3980,7.6884,0.4372,0.4019,,0.0028,0.30363,1.0,0.226244,3.3837,0.330383,5.7573,0.316151,3.412,0.246667,2.0703,0.259259,2.0703,C2,0.330383,C2,C2,C2
phi3,multi_news,15,rouge1,3279,12552,8.1923,0.3785,0.2736,,0.0009,0.337662,1.0,0.236162,10.4673,0.344828,5.8471,0.325581,3.412,0.285714,6.4043,0.278481,6.4043,C2,0.344828,C2,C2,C2
phi3,multi_news,16,rouge1,2424,8902,7.9847,0.4151,0.2921,0.3315,0.0012,0.255072,1.0,0.165468,7.7379,0.255892,5.8603,0.296296,3.412,0.226277,4.7344,0.253623,4.7344,C3,0.296296,C2,C2,C2
phi3,multi_news,17,rouge1,1846,7308,8.2636,0.4353,0.3857,,0.0015,0.305195,1.0,0.21097,5.8928,0.300654,5.8423,0.283912,3.412,0.240283,3.6055,0.212928,3.6055,C0,0.305195,C0,C2,C2
phi3,multi_news,18,rouge1,5268,22086,8.546,0.3711,0.2532,0.9707,0.0005,0.282895,1.0,0.180451,11.1727,0.325879,5.8302,0.28013,3.412,0.261538,6.8359,0.221344,6.8359,C2,0.325879,C2,C2,C4
