model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama31_8b,multifieldqa_en,14,qa_f1,3785,14403,9.4641,0.4404,0.3868,0.9994,0.0044,0.0,1.0,503709696.0,503709696.0,0.0,19.1162,26288128.0,502530048.0,0.0,4.5924,109682427.8,503709696.0,0.0,3.3625,149801440.0,503709696.0,0.0,3.6705,137232384.0,503709696.0,0.0,3.6705,137232384.0,503709696.0,C0,0.0,C1,C1,C1
llama31_8b,multifieldqa_en,15,qa_f1,9461,42138,9.0572,0.3951,0.2222,0.9998,0.0058,0.30303,1.0,986054656.0,986054656.0,0.37037,37.1046,26550272.0,985137152.0,0.37037,4.6233,213136736.2,985399296.0,0.30303,3.3859,291221504.0,986054656.0,0.30303,7.1794,137363456.0,986185728.0,0.3125,7.1853,137232384.0,986054656.0,C1,0.37037,C1,C1,C1
llama31_8b,multifieldqa_en,16,qa_f1,7656,33274,9.3051,0.4012,0.2701,0.9997,0.005,0.0,1.0,983433216.0,983433216.0,0.125,38.9796,25239552.0,983826432.0,0.0,4.6372,212073656.0,983433216.0,0.0,3.4076,288600064.0,983433216.0,0.0,7.3057,134610944.0,983433216.0,0.0,7.3057,134610944.0,983433216.0,C1,0.125,C1,C1,C1
llama31_8b,multifieldqa_en,17,qa_f1,3704,13757,7.6487,0.2999,0.1712,0.9993,0.0118,0.125,1.0,498335744.0,498335744.0,0.105263,15.5853,31924224.0,497549312.0,0.125,4.5829,108737937.1,498335744.0,0.125,3.2762,152146080.0,498466816.0,0.181818,3.4977,142475264.0,498335744.0,0.181818,3.4977,142475264.0,498335744.0,C4,0.181818,C2,C2,C2
llama31_8b,multifieldqa_en,18,qa_f1,5300,22974,8.4297,0.3478,0.2072,0.9996,0.0047,0.272727,1.0,706740224.0,706740224.0,0.521739,25.2208,27860992.0,702676992.0,0.5,4.612,152358636.6,702676992.0,0.272727,3.3261,212486208.0,706740224.0,0.5,5.1057,137625600.0,702676992.0,0.5,5.1057,137625600.0,702676992.0,C1,0.521739,C1,C1,C1
llama31_8b,multifieldqa_en,19,qa_f1,11048,44441,8.623,0.3246,0.1461,0.9998,0.0038,0.066667,1.0,986841088.0,986841088.0,0.095238,37.1046,26550272.0,985137152.0,0.066667,4.6284,213216208.1,986841088.0,0.095238,3.3935,290304000.0,985137152.0,0.068966,7.15,138018816.0,986841088.0,0.068966,7.15,138018816.0,986841088.0,C1,0.095238,C1,C1,C1
llama31_8b,narrativeqa,0,qa_f1,31373,127703,9.2856,0.3891,0.1576,0.9999,0.0184,0.470588,1.0,984875008.0,984875008.0,0.285714,37.8319,26025984.0,984612864.0,0.5,4.6226,213027639.6,984743936.0,0.470588,3.3956,290041856.0,984875008.0,0.714286,7.2449,135921664.0,984743936.0,0.714286,7.2449,135921664.0,984743936.0,C4,0.714286,C4,C4,C4
llama31_8b,narrativeqa,1,qa_f1,36248,157714,9.5496,0.3887,0.1602,0.9999,0.0198,0.0,1.0,984612864.0,984612864.0,0.0,38.0183,25894912.0,984481792.0,0.0,4.6179,213244587.4,984743936.0,0.0,3.3978,289779712.0,984612864.0,0.0,7.251,135790592.0,984612864.0,0.0,7.2389,136052736.0,984875008.0,C0,0.0,C1,C1,C1
llama31_8b,narrativeqa,2,qa_f1,13507,56169,9.049,0.4016,0.2137,0.9998,0.0192,0.142857,1.0,984088576.0,984088576.0,0.142857,38.5891,25501696.0,984088576.0,0.142857,4.6344,212345884.1,984088576.0,0.142857,3.4021,289255424.0,984088576.0,0.142857,7.2752,135266304.0,984088576.0,0.142857,7.2752,135266304.0,984088576.0,C0,0.142857,C1,C1,C1
llama31_8b,narrativeqa,3,qa_f1,16516,62691,9.2044,0.424,0.2147,0.9998,0.0201,0.142857,1.0,984481792.0,984481792.0,0.133333,37.6474,26157056.0,984743936.0,0.125,4.6266,212870582.6,984875008.0,0.142857,3.3989,289648640.0,984481792.0,0.142857,7.257,135659520.0,984481792.0,0.125,7.2389,136052736.0,984875008.0,C0,0.142857,C4,C4,C1
